idH,idI,rep,val,time
GRASP_RG_VND,C5p58k92L200R160_1,2,2,6.7031755447387695
GRASP_RG_VND2,C5p58k92L200R160_1,2,2,6.672092437744141
ANT_TS,C5p58k92L200R160_1,2,1,6.675028324127197
ANT_VND,C5p58k92L200R160_1,2,1,6.668435096740723
ANT_VND2,C5p58k92L200R160_1,2,1,6.6720945835113525
ANT2_TS,C5p58k92L200R160_1,2,1,6.675177812576294
ANT2_VND,C5p58k92L200R160_1,2,1,6.673702001571655
ANT2_VND2,C5p58k92L200R160_1,2,1,6.673051118850708
KIEst,C5p58k92L200R160_1,4,1,0.4903557300567627
GRASP_RG_TS,C5p58k92L200R160_1,3,1,6.6976354122161865
GRASP_RG_VND,C5p58k92L200R160_1,3,1,6.680921316146851
GRASP_RG_VND2,C5p58k92L200R160_1,3,1,6.692233085632324
ANT_TS,C5p58k92L200R160_1,3,1,6.671057462692261
ANT_VND,C5p58k92L200R160_1,3,1,6.667520999908447
ANT_VND2,C5p58k92L200R160_1,3,1,6.671219825744629
ANT2_TS,C5p58k92L200R160_1,3,2,6.673371315002441
ANT2_VND,C5p58k92L200R160_1,3,1,6.667132616043091
ANT2_VND2,C5p58k92L200R160_1,3,1,6.673449754714966
GRASP_RG_TS,C5p58k92L200R160_1,4,1,6.672123193740845
KIEst,C5p58k92L200R160_1,5,1,0.5327496528625488
GRASP_RG_VND,C5p58k92L200R160_1,4,2,6.6719725131988525
GRASP_RG_VND2,C5p58k92L200R160_1,4,1,6.694141626358032
ANT_TS,C5p58k92L200R160_1,4,1,6.673829555511475
ANT_VND,C5p58k92L200R160_1,4,1,6.668092250823975
ANT_VND2,C5p58k92L200R160_1,4,1,6.671669483184815
ANT2_TS,C5p58k92L200R160_1,4,1,6.668825626373291
ANT2_VND,C5p58k92L200R160_1,4,1,6.668900728225708
ANT2_VND2,C5p58k92L200R160_1,4,1,6.671709299087524
GRASP_RG_TS,C5p58k92L200R160_1,5,2,6.668704271316528
KIEst,C5p58k92L200R160_1,6,1,0.536998987197876
GRASP_RG_VND,C5p58k92L200R160_1,5,1,6.697329521179199
GRASP_RG_VND2,C5p58k92L200R160_1,5,2,6.668166399002075
ANT_TS,C5p58k92L200R160_1,5,1,6.6743457317352295
ANT_VND,C5p58k92L200R160_1,5,1,6.667067289352417
ANT_VND2,C5p58k92L200R160_1,5,1,6.6689066886901855
ANT2_TS,C5p58k92L200R160_1,5,1,6.672679662704468
ANT2_VND,C5p58k92L200R160_1,5,1,6.6695661544799805
ANT2_VND2,C5p58k92L200R160_1,5,1,6.67112398147583
KIEst,C5p58k92L200R160_1,7,1,0.518850564956665
GRASP_RG_TS,C5p58k92L200R160_1,6,2,6.687746047973633
